@relation balanced_200_0.2_20
@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute class {0, 1}

@data
0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1
0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,2,0,1,0,0,1
0,0,0,1,1,0,0,0,0,1,1,0,2,1,1,0,0,0,0,1,1
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
1,2,0,0,0,1,0,0,1,2,1,0,1,0,1,0,1,0,1,1,1
0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,2,1,1,1
1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1
0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1
0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,1,1
2,0,0,0,0,0,0,1,1,1,0,1,2,0,1,1,1,0,1,0,1
1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
1,1,1,0,2,0,0,1,2,2,0,1,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1
0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1
0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
0,0,0,1,1,1,1,1,0,0,0,0,2,2,0,1,0,2,0,0,1
0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,2,0,0,1
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,2,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1
0,0,2,1,0,2,0,2,0,1,0,0,0,2,0,1,0,0,1,0,1
1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1
0,0,0,1,1,1,0,1,0,2,1,2,0,0,0,1,0,1,0,1,1
1,0,0,0,1,1,0,0,0,1,1,0,1,0,2,1,0,0,0,0,1
0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
1,0,1,0,0,0,0,1,0,1,0,1,0,1,2,1,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1
0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,2,1
0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,0,0,1,2,0,1
2,1,0,1,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
2,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1
